ID	EGDe_030510[Tiling]	EGDe_Stat[Tiling]
AdoCbl_riboswitch	4.326219857	3.477983749
Cobalamin	2.262488791	3.086290584
Cobalamin 2	-0.75864632	1.643098518
FMN	5.607828768	4.083446493
Glycine	1.098813486	4.672919332
L10	7.017521896	4.206222583
L13	7.800117717	6.197452488
L17DE	-1.809757865	-2.221852936
L19	8.628637445	7.278123293
L20	5.641156282	3.702066053
L21	7.16645183	5.180965621
Lysine	3.844904606	3.135533627
M-box	2.814646634	0.954580262
MogR-T1	0.169856505	-0.15771462
MogR-T2	-2.911733816	-0.093980365
PreQ1	4.440531711	1.947132831
PrfA	-0.851986604	-0.151721715
Purine-1	2.732343969	-0.534330276
Purine-2	2.207543862	0.984681149
PyrR-1	3.269018811	1.78528792
PyrR-2	4.205917038	0.8388188
SAM-SreA	3.706925801	3.268419484
SAM-SreB	2.106330044	1.545067246
SAM-SreC	4.756021334	1.789646222
SAM-SreD	2.830246702	1.962331632
SAM-SreE	3.335730055	2.150388453
SAM-SreF	2.232914884	0.230880833
SAM-SreG	2.979051743	0.500757033
T-box-1	5.362769784	5.052248083
T-box-10	4.673139713	2.754317413
T-box-11	2.013540152	2.568702451
T-box-12	5.138851397	4.05000184
T-box-13	6.306728599	5.886490716
T-box-14	3.550684047	2.380380135
T-box-15	3.694400696	5.660757176
T-box-2	4.533792835	3.198342813
T-box-3	4.913296018	4.393896233
T-box-4	5.866042764	4.41476685
T-box-5	4.950394527	3.932377728
T-box-6	6.2254778	5.792170784
T-box-7	4.255346429	4.436179025
T-box-8	3.123658988	3.107397982
T-box-9	4.564697336	4.805905419
TPP-1	2.419301622	2.129381481
TPP-2	4.338727514	2.186147537
anti0043	-0.830252445	-2.014767924
anti0112	0.245070407	0.500163957
anti0172-rli23	1.150297466	-0.226138374
anti0307	0.599020202	0.126702273
anti0330-rli25	0.896719111	-1.186629267
anti0360	3.888578577	2.522522522
anti0387	-0.090800346	0.996735984
anti0421	0.366684932	0.259022973
anti0424	0.490560126	0.846000072
anti0441	-0.558366879	-2.365351962
anti0469	-0.487593945	-2.016328252
anti0470	1.533665278	0.270863569
anti0506-rli30	1.283745638	0.488366343
anti0570	1.24896271	0.826938912
anti0571	1.271918445	2.030216908
