Locustag	begin	end	length	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
AdoCbl_riboswitch	1198103	1198252	150	+	1198103	1198252	150	CisReg	Rfam		"Rfam 2012;"				
Cobalamin	1179809	1179999	191	+	1179809	1179999	191	CisReg	Rfam	Cobalamin 1, 	"Rfam 2012;"				
Cobalamin 2	1216481	1216658	178	+	1216481	1216658	178	CisReg	Rfam		"Rfam 2012;"				
FMN	2020487	2020609	123	-	2020487	2020609	123	CisReg	Rfam		"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
Glycine	1372840	1372931	92	+	1372840	1372931	92	CisReg	Rfam		"Toledo-Arana et al. 2009;Rfam 2012;"				
L10	266232	266375	144	+	266232	266375	144	CisReg	Rfam	L10_leader, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
L13	2685181	2685233	53	-	2685181	2685233	53	CisReg	Rfam	L13_leader, 	"Toledo-Arana et al. 2009;Rfam 2012;"				
L17DE	2691575	2691650	76	-	2691575	2691650	76	CisReg	Rfam		"Rfam 2012;"				
L19	1862270	1862308	39	-	1862270	1862308	39	CisReg	Rfam		"Toledo-Arana et al. 2009;"				
L20	1859870	1860008	139	-	1859870	1860008	139	CisReg	Rfam	L20_leader, 	"Rfam 2012;"				
L21	1577068	1577146	79	-	1577068	1577146	79	CisReg	Rfam	L21_leader, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
Lysine	826486	826683	198	-	826486	826683	198	CisReg	Rfam		"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
M-box	2765940	2766104	165	-	2765940	2766104	165	CisReg	Rfam	ykoK, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
MogR-T1	710749	712446	1698	-	710749	712446	1698	ASrna	Toledo-Arana et al. 2009		"Toledo-Arana et al. 2009;"				
MogR-T2	710749	710794	46	-	710749	710794	46	ASrna	Toledo-Arana et al. 2009		"Toledo-Arana et al. 2009;"				
PreQ1	907926	907973	48	+	907926	907973	48	CisReg	Rfam		"Toledo-Arana et al. 2009;Rfam 2012;"				
PrfA	204339	204468	130	-	204339	204468	130	CisReg	Johansson et al. 2002		"Toledo-Arana et al. 2009;Rfam 2012;"				
Purine-1	611017	611119	103	-	611017	611119	103	CisReg	Rfam	Purine, Purine 1, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
Purine-2	1958821	1958922	102	-	1958821	1958922	102	CisReg	Rfam	Purine, Purine 2, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
PyrR-1	1917471	1917574	104	-	1917471	1917574	104	CisReg	Rfam	PyrR, PyrR 1, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
PyrR-2	1918154	1918262	109	-	1918154	1918262	109	CisReg	Rfam	PyrR, PyrR 2, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
SAM-SreA	2490998	2491226	229	-	2490998	2491226	229	CisReg	Johansson et al. 2009	SAM, SAM 7, 	"Johansson 2009;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
SAM-SreB	637762	637940	179	-	637762	637940	179	CisReg	Johansson et al. 2009	SAM, SAM 3, 	"Johansson 2009;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
SAM-SreC	1716478	1716659	182	-	1716478	1716659	182	CisReg	Johansson et al. 2009	SAM, SAM 5, 	"Johansson 2009;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
SAM-SreD	1739418	1739633	216	-	1739418	1739633	216	CisReg	Johansson et al. 2009	SAM, SAM 6, 	"Johansson 2009;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
SAM-SreE	882759	882927	169	+	882759	882927	169	CisReg	Johansson et al. 2009	SAM, SAM 4, 	"Johansson 2009;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
SAM-SreF	309211	309408	198	-	309211	309408	198	CisReg	Johansson et al. 2009	SAM, SAM 2, 	"Johansson 2009;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
SAM-SreG	137135	137294	160	+	137135	137294	160	CisReg	Johansson et al. 2009	SAM, SAM 1, 	"Johansson 2009;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
T-box-1	258548	258760	213	+	258548	258760	213	CisReg	KEGG DAS	T-box, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;"				
T-box-10	1711342	1711543	202	-	1711342	1711543	202	CisReg	Rfam	T-box, T-box 9, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
T-box-11	1809817	1810057	241	-	1809817	1810057	241	CisReg	Rfam	T-box, T-box 10, 	"Toledo-Arana et al. 2009;Rfam 2012;"				
T-box-12	2100001	2100227	227	-	2100001	2100227	227	CisReg	Rfam	T-box, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;"				
T-box-13	2287226	2287453	228	+	2287226	2287453	228	CisReg	Rfam	T-box, T-box 11, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
T-box-14	2668833	2669082	250	+	2668833	2669082	250	CisReg	Rfam	T-box, 	"Toledo-Arana et al. 2009;"				
T-box-15	2823255	2823477	223	-	2823255	2823477	223	CisReg	Rfam	T-box, T-box 12, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
T-box-2	1240774	1241002	229	+	1240774	1241002	229	CisReg	Rfam	T-box, T-box 1, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
T-box-3	1494104	1494276	173	-	1494104	1494276	173	CisReg	Rfam	T-box, T-box 2, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
T-box-4	1553972	1554200	229	-	1553972	1554200	229	CisReg	Rfam	T-box, T-box 3, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Mraheil et al. 2011-2;Rfam 2012;"				
T-box-5	1588901	1589127	227	-	1588901	1589127	227	CisReg	Rfam	T-box, T-box 4, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
T-box-6	1597218	1597448	231	-	1597218	1597448	231	CisReg	Rfam	T-box, T-box 5, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
T-box-7	1642603	1642811	209	-	1642603	1642811	209	CisReg	Rfam	T-box, T-box 6, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
